Trend,Trigger_Type,Dir,count,mean
Healthy Up,Bullish_Engulfing,+,1,0.018456319443192794
Healthy Up,Bullish_Engulfing,-,2,-0.023587662609494346
Healthy Up,RSI,+,9,0.021585194270986315
Healthy Up,RSI,-,6,-0.010720393801712432
Healthy Up,Up_Doji,+,12,0.020862157995694155
Healthy Up,Up_Doji,-,10,-0.018859392263929874
Strong Up,Bullish_Engulfing,+,11,0.012150661967008296
Strong Up,Bullish_Engulfing,-,10,-0.013335940457934894
Strong Up,RSI,+,20,0.017157537154869236
Strong Up,RSI,-,6,-0.01521744743763309
Strong Up,Up_Doji,+,38,0.014261668379499791
Strong Up,Up_Doji,-,38,-0.01951514888579255
Weak Up,Bullish_Engulfing,+,2,0.011965364877272658
Weak Up,Bullish_Engulfing,-,3,-0.009380808839656175
Weak Up,RSI,+,12,0.01727508236820868
Weak Up,RSI,-,6,-0.00557722478254423
Weak Up,Up_Doji,+,6,0.023599084874692353
Weak Up,Up_Doji,-,8,-0.012954642287675285
